,ANSICODE,HYDROID,FULLNAME,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
806792,,110378324464,,H2030,0.0,13386.0,+41.8874592,-80.6176791,"POLYGON ((-80.61911999999995 41.88725000000005, -80.61807999999996 41.88773100000003, -80.61602799999997 41.88775500000003, -80.61743599999994 41.887159000000054, -80.61911999999995 41.88725000000005))"
806802,,110378324479,,H2030,0.0,15145.0,+41.8552478,-80.9762423,"POLYGON ((-80.97727999999995 41.85552700000005, -80.97578099999998 41.85582500000004, -80.97504599999996 41.85527600000006, -80.97666799999996 41.85470400000003, -80.97727999999995 41.85552700000005))"
806803,,110378324480,,H2030,0.0,26717.0,+41.8919252,-80.6858411,"POLYGON ((-80.68721099999993 41.891792000000066, -80.68528299999997 41.89270700000003, -80.68436399999996 41.89231900000004, -80.68653799999998 41.891106000000036, -80.68721099999993 41.891792000000066))"
806934,,110378324394,,H2030,0.0,1748.0,+41.8561242,-80.9743654,"POLYGON ((-80.97482399999996 41.85660100000007, -80.97419699999995 41.856168000000025, -80.97397999999998 41.85580200000004, -80.97434499999997 41.855859000000066, -80.97482399999996 41.85660100000007))"
806935,,110378324395,,H2030,0.0,13114.0,+41.8593734,-80.9278684,"POLYGON ((-80.92890099999994 41.860655000000065, -80.92853099999996 41.86091700000003, -80.92725799999994 41.85978800000004, -80.92758699999996 41.858442000000025, -80.92890099999994 41.860655000000065))"
806936,,110378324397,,H2030,0.0,4141.0,+41.8082801,-80.9064179,"POLYGON ((-80.90710299999995 41.80826500000006, -80.90603199999998 41.80853900000005, -80.90581799999995 41.80815000000007, -80.90658299999996 41.80803600000007, -80.90710299999995 41.80826500000006))"
806937,,110378324398,,H2030,0.0,6170.0,+41.8072377,-80.9063852,"POLYGON ((-80.90701099999995 41.80737300000004, -80.90572699999996 41.80746400000004, -80.90560499999998 41.80716700000005, -80.90688899999998 41.80696100000006, -80.90701099999995 41.80737300000004))"
806938,,110378324399,,H2030,0.0,8244.0,+41.7870156,-80.9664701,"POLYGON ((-80.96693599999998 41.78731000000005, -80.96638599999994 41.78753900000004, -80.96586599999995 41.786853000000065, -80.96693499999998 41.786486000000025, -80.96693599999998 41.78731000000005))"
806939,,110378324401,,H2030,0.0,13465.0,+41.7659377,-80.9575861,"POLYGON ((-80.95824699999997 41.76640100000003, -80.95705499999997 41.76653900000008, -80.95720799999998 41.76518900000008, -80.95784899999995 41.76532600000007, -80.95824699999997 41.76640100000003))"
806940,,110378324402,,H2030,0.0,22522.0,+41.7728918,-80.9432483,"POLYGON ((-80.94425199999995 41.773701000000074, -80.94361099999998 41.77379300000007, -80.94189899999998 41.77264900000006, -80.94357999999994 41.772077000000024, -80.94425199999995 41.773701000000074))"
